MOD_NONE;None;Keine;
MOD_LITTLEROOT_TOWN;Littleroot Town;Wurzelheim;
MOD_OLDALE_TOWN;Oldale Town;Rosaltstadt;
MOD_PETALBURG_CITY;Petalburg City;Blütenburg City;
MOD_RUSTBORO_CITY;Rustboro City;Metarost City;
MOD_DEWFORD_TOWN;Dewford Town;Faustauhaven;
MOD_SLATEPORT_CITY;Slateport City;Graphitport City;
MOD_VERDANTURF_TOWN;Verdanturf Town;Wiesenflur;
MOD_FALLARBOR_TOWN;Fallarbor Town;Laubwechselfeld;
MOD_FORTREE_CITY;Fortree City;Baumhausen City;
MOD_LILYCOVE_CITY;Lilycove City;Seegrasulb City;
MOD_NEW_LILYCOVE_CITY;New Lilycove City;Neu-Seegrasulb City;
MOD_SOOTOPOLIS_CITY;Sootopolis City;Xeneroville;
MOD_CLIFFELTA_CITY;Cliffelta City;Klippelta Clity;
MOD_EX07;Blossand Town;Knossandia;
MOD_ROUTE_101;Route Theme 1;Routen-Thema 1;
MOD_ROUTE_104;Route Theme 2;Routen-Thema 2;
MOD_ROUTE_110;Route Theme 3;Routen-Thema 3;
MOD_ROUTE_113;Route Theme 4;Routen-Thema 4;
MOD_ROUTE_119;Route Theme 5;Routen-Thema 5;
MOD_ROUTE_120;Route Theme 6;Routen-Thema 6;
MOD_ROUTE_123;Route Theme 7;Routen-Thema 7;
MOD_ROUTE_135;Route Theme 8;Routen-Thema 8;
MOD_ROUTE_38;Route Theme 9;Routen-Thema 9;
MOD_ROUTE_10;Route Theme 10;Routen-Thema 10;
MOD_POKEMON_CENTER;PKMN Center;PKMN-Center;
MOD_POKEMON_GYM;PKMN Gym;PKMN-Arena;
MOD_POKEMON_MART;PKMN Mart;PKMN-Markt;
MOD_PROF_BIRCH_LAB;Prof. Birch's Lab;Prof. Birks Labor;
MOD_CAVE_FORESTS;Cave/Forest;Höhle/Wald;
MOD_EX03;Pretty Petal;Blütentraum;
MOD_TRAINER_SCHOOL;Trainer School;Trainerschule;
MOD_ABANDONED_SHIP;Abandoned Ship;Schiffswrack;
MOD_MARINE_SCIENCE_MUSEUM;Oceanic Museum;Ozeanmuseum;
MOD_TRICK_HOUSE;Trick House;Rätselhaus;
MOD_NEW_MAUVILLE;New Mauville;Neu-Malvenfroh;
MOD_MT_CHIMNEY;Mt. Chimney;Schlotberg;
MOD_METEOR_FALLS;Meteor Falls;Meteorfälle;
MOD_SAFARI_ZONE;Safari Zone;Safari Zone;
MOD_LILYCOVE_MUSEUM;Lilycove Museum;Seegrasulb-Museum;
MOD_MT_PYRE_PEAK;Mt. Pyre;Pyroberg;
MOD_TEAM_AM_HIDEOUT;Team AM Hideout;Team AM Versteck;
MOD_SHOAL_CAVE;Shoal Cave;Küstenhöhle;
MOD_VICTORY_ROAD;Victory Road;Siegesstraße;
MOD_SEALED_CHAMBER;Sealed Chamber;Siegelkammer;
MOD_CRYSTAL_CAVERN;Crystal Cavern;Kristallgrotte;
MOD_BATTLE_FRONTIER;Battle Frontier;Kampfzone;
MOD_BATTLE_TOWER;Battle Tower;Duellturm;
MOD_BATTLE_ARENA;Battle Arena;Kampfarena;
MOD_BATTLE_FACTORY;Battle Factory;Kampffabrik;
MOD_BATTLE_PALACE;Battle Palace;Kampfpalast;
MOD_BATTLE_PYRAMID_PEAK;Pyramid Peak;Pyramidengipfel;
MOD_BATTLE_WILD;VS Wild PKMN;VS Wildes PKMN;
MOD_BATTLE_WILD_ALT;VS Rare PKMN;VS Seltenes PKMN;
MOD_BATTLE_REGI;VS Regi;VS Regi;
MOD_BATTLE_RAYQUAZA;VS Rayquaza;VS Rayquaza;
MOD_BATTLE_RAIKOU_ENTEI_SUICUNE;VS Roaming Beast;VS Streifende Bestie;
MOD_BATTLE_EX01;VS Sinnoh;VS Sinnoh;
MOD_BATTLE_DIALGA_PALKIA;VS Dialga/Palkia;VS Dialga/Palkia;
MOD_BATTLE_TRAINER;VS Trainer;VS Trainer;
MOD_BATTLE_MAY_BRENDAN;VS Rival;VS Rivale;
MOD_BATTLE_TEAM_AM;VS AM Grunt;VS AM Rüpel;
MOD_BATTLE_GYM_LEADER;VS Gym Leader;VS Arenaleiter;
MOD_BATTLE_CHAMPION;VS Champion;VS Champ;
MOD_BATTLE_FRONTIER_BRAIN;VS Frontier Brain;VS Kampfkoryphäe;
MOD_VICTORY_GYM_LEADER;Victory: Gym Leader;Sieg: Arenaleiter;
MOD_VICTORY_TEAM_AM_GRUNT;Victory: Team AM;Seig: Team AM;
MOD_VICTORY_TRAINER;Victory: Trainer;Sieg: Trainer;
MOD_VICTORY_WILD;Victory: Wild PKMN;Sieg: Wildes PKMN;
MOD_ENCOUNTER_BRENDAN;! Brendan;! Brix;
MOD_ENCOUNTER_MAY;! May;! Maike;
MOD_ENCOUNTER_TEAM_AM;! Team AM;! Team AM;
MOD_ENCOUNTER_ELECTRIC;! Guitarist;! Gitarrist;
MOD_ENCOUNTER_HIKER;! Hiker;! Wanderer;
MOD_ENCOUNTER_SAILOR;! Sailor;! Seemann;
MOD_ENCOUNTER_TUBER;! Tuber;! Planscher;
MOD_ENCOUNTER_TWINS;! Twins;! Zwillinge;
MOD_ENCOUNTER_YOUNGSTER;! Youngster;! Teenager;
MOD_ENCOUNTER_SHIRONA;! Cynthia;! Cynthia;
MOD_HELP_PROF_BIRCH;Help!;Hilfe!;
MOD_SHOW_ME_AROUND;Show Me Around!;Führe Mich Herum!;
MOD_CYCLING;Cycling;Zu Rad;
MOD_SURFING;Surfing;Zu See;
MOD_SURFING_ALT;Surfing (alt);Zu See (var);
MOD_SAILING;Sailing;Zu Schiff;
MOD_DIVING;Diving;Unterwasser;
MOD_UNWAVERING_EMOTIONS;Reunion;Wiedersehen;
MOD_DESERT;Weather: Sandstorm;Wetter: Sandsturm;
MOD_CABLE_CAR;Cable Car;Seilbahn;
MOD_EVOLVING;Evolving;Entwicklung;
MOD_MYSTERY_GIFT;Mystery Gift;Geheimgeschehen;
MOD_OS_BADGE;Badge Obtained!;Orden Erhalten!;
MOD_OS_SYMBOL;Symbol Obtained!;Symbol Erhalten!;
MOD_OS_TM;TM Obtained!;TM Erhalten!;
MOD_OS_EVOLVED;Evolved!;Entwickelt!;
MOD_OS_HEAL_PKMN;Healed!;Geheilt!;
MOD_OS_LEVEL_UP;Level Up!;Level-Up!;
MOD_OS_PKMN_CAPTURE;Capture!;Gefangen!;
MOD_EX01;PR: Route 38;PR: Route 38;
MOD_EX02;PR: Saffron;PR: Saffronia;
MOD_MT_MOON;Mt. Moon;Mondberg;
MOD_ECRUTEAK_CITY;Ecruteak City;Teak City;
MOD_EX04;Islands 1;Eilande 1;
MOD_EX05;Islands 2;Eilande 2;
MOD_LAKE_CAVE;Lake Cave;Seengrotte;
MOD_DISTORTION_WORLD;Distortion World;Zerrwelt;
MOD_EX06;Hidden Land;Verborgenes Land;
MOD_POKE_RADAR;Poké Radar;Poké Radar;
MOD_GHOST_GIRL;Ghost Girl;Geistchen;
SEQ_UNOVA_GATE;Unovian Gate;Einall-Tor;
SEQ_ETERNA_FOREST;Eterna Forest;Ewigwald;
SEQ_SPRING_PATH;Spring Path;Frühlingspfad;
