@What's popular?;Was ist angesagt?;
Hello!\n%s!;Hallo!\n%s!;こんにちは！\n%s！;Salut!\n%s!;Ciao!\n%s!;¡Hola!\n¡%s!;
I love %s!;Ich liebe %s!;%s　だいすき！;J'adore %s!;Adoro %s!;¡Me encanta %s!;
I love %s!\nI love %s, too!;Ich liebe %s!\nUnd ich liebe auch %s!;%s　だいすき！\n%s　も　だいすき！;J'adore %s!\nJ'adore %s, aussi!;Adoro %s!\nAnch'io adoro %s!;¡Me encanta %s!\n¡También me encanta %s!;
This %s is\n%s, isn't it?;%s ist\n%s, oder etwa nicht?;この　%sは\n%s　でしょ！;Ce %s est\n%s, n'est-ce pas?;%s è\n%s, vero?;Este %s es\n%s, ¿verdad?;
I can do anything for\n%s!;Für %s tue ich alles!;%s　の　ためなら\nなんでも　できるよ！;Je ferais n'importe quoi pour\n%s!;Farei di tutto per\n%s!;¡Haría lo que fuera por\n%s!;
This %s is\n%s!;%s ist\n%s!;この　%s　は\n%s　ですよ！;Ce %s est\n%s!;%s è\n%s!;¡Este %s es\n%s!;
%s is the real\n%s!;%s ist das wahre\n%s!;%s　こそ\n%s　なのだ！;%s est vraiment\n%s!;%s è proprio\n%s!;¡%s es de verdad\n%s!;
It might be %s...;Es könnte %s sein...;%s　かも　しれない……;Ce pourrait bien être \n%s...;Potrebbe essere %s...;Puede ser %s...;
There's only %s\nleft!;Es gibt nur noch\n%s!;もう　%s　しか　ない！;Il ne reste plus \nque %s!;Chi è rimasto? \nSolo %s!;¡Solo queda %s!;
It's %s!\nIt's %s!;Es ist %s!\nEs ist %s!;%s　です！\n%s　なんです！;C'est %s!\nC'est %s!;È %s!\nÈ %s!;¡Es %s!\n¡Es %s!;
I prefer %s\nafter all!;Ich bevorzuge letzten Endes\ndoch %s!;やっぱり\n%s　が　いい！;Finalement, je préfère\n%s!;Dopotutto preferisco\n%s!;¡La verdad es que\nyo prefiero %s!;
Is %s\n%s?;Ist %s\n%s?;%s　は\n%s　なの？;Est-ce que %s est\n%s?;È %s\n%s?;¿Es %s\n%s?;
Do you like %s?;Magst du %s?;%sは\nすき　ですか？;Tu aimes %s?;Ti piace %s?;¿Te gusta %s?;
What do you think of\n%s?;Wie denkst du über\n%s?;%s　の　こと\nどう　おもう？;Qu'est-ce que tu penses de\n%s?;Cosa ne pensi di\n%s?;¿Qué piensas de\n%s?;
%s is so\n%s!;%s ist so\n%s!;%s　って\n%s　！;%s est tellement\n%s!;%s è così\n%s!;¡%s es muy\n%s!;
%s are\n%s!;%s sind\n%s!;%s　は\n%s　だよ！;Les %s sont\n%s!;%s sono\n%s!;¡%s son\n%s!;
%s, right?;%s, oder?;%s　だよね！;%s, non?;%s, giusto?;%s, ¿no?;
