@TRAINER;TRAINER;トレーナー;DRESSEUR;ALLENATORE;ENTRENADOR;
MATCH UP;HARMONIEREN;あいしょう;AU NIVEAU;SINTONIA;EMPAREJAR;
NO. 1;NR. 1;いちばん;Nº 1;Nº 1;NÚMERO 1;
PREPARATION;VORBEREITEN;かくご;PREPARATION;PREPARATIVI;PREPARACIÓN;
WINS;GEWINNEN;かち;GAGNE;VINCITE;VICTORIAS;
NO MATCH;INKOMPATIBEL;かなわない;TROP NUL;DISCORDE;DERROTA;
SPIRIT;GEIST;きあい;ESPRIT;SPIRITO;ESPÍRITU;
ACE CARD;TRUMPFKARTE;きりふだ;ATOUT;BRISCOLA;AS;
COME ON;KOMM SCHON;こい！;ALLEZ VIENS;DAI, SU!;VENGA;
ATTACK;ANGRIFF;こうげき;ATTAQUER;ATTACCO;ATAQUE;
SURRENDER;ERGEBEN;こうさん;SE RENDRE;RESA;RENDICIÓN;
COURAGE;MUT;こんじょう;CRAN;CORAGGIO;AGALLAS;
TALENT;TALENT;さいのう;TALENT;TALENTO;TALENTO;
STRATEGY;STRATEGIE;さくせん;STRATEGIE;STRATEGIA;ESTRATEGIA;
MATCH;PARTIE;しょうぶ;MATCH;INCONTRO;COMBATE;
VICTORY;SIEG;しょうり;VICTOIRE;VITTORIA;VICTORIA;
SENSE;GESCHMACK;センス;SENSATION;GUSTO;SENSACIÓN;
VERSUS;GEGEN;たいせん;CONTRE;CONTRO;CONTRA;
FIGHTS;STREITEN;たたかい;DISPUTE;BATTAGLIE;LUCHAS;
POWER;KRAFT;ちから;PUISSANCE;POTENZA;PODER;
CHALLENGE;HERAUSFORDRG;チャレンジ;DEFI;SFIDA;DESAFÍO;
STRONG;STARKEN;つよい;FORT;FORTE;FUERTE;
TAKE IT EASY;SCHONEN;てかげん;DOUCEMENT;ALLA BUONA;CON CALMA;
FOE;GEGNER;てき;ENNEMI;NEMICO;ENEMIGO;
GENIUS;GENIE;てんさい;GENIE;GENIO;GENIO;
LEGEND;LEGENDE;でんせつ;LEGENDE;LEGGENDA;LEYENDA;
BATTLE;KÄMPFE;バトル;COMBAT;LOTTA;BATALLA;
FIGHT;KÄMPFEN;ファイト;COMBATTRE;BATTAGLIA;LUCHA;
REVIVE;BELEBEN;ふっかつ;RESSUSCITER;RECUPERO;REVIVIR;
POINTS;PUNKTE;ポイント;POINTS;PUNTI;PUNTOS;
SERIOUS;ERNSTHAFT;ほんき;SERIEUX;SERIO;SERIO;
LOSS;VERLUST;まけ;DEFAITE;SCONFITTA;PÉRDIDA;
PARTNER;PARTNER;みかた;PARTENAIRE;ALLEATO;COMPAÑERO;
INVINCIBLE;UNSCHLAGBAR;むてき;INVINCIBLE;INVINCIBILE;INVENCIBLE;
EASY;LEICHT;よゆう;FACILE;FACILE;FÁCIL;
WEAK;SCHWACH;よわい;FAIBLE;DEBOLE;DÉBIL;
EASY WIN;LAPPALIE;らくしょう;NULLITE;BEL TRIONFO;PALIZA;
MOVE;ATTACKE;わざ;CAPACITE;MOSSA;MOVIMIENTO;
TRAINER;TRAINER;トレーナー;DRESSEUR;ALLENATORE;ENTRENADOR;
