0000,Mystery Zone,Mysteriöser Ort,
0001,Twinleaf Town,Zweiblattdorf,
0002,Sandgem Town,Sandgemme,
0003,Floaroma Town,Flori,
0004,Solaceon Town,Trostu,
0005,Celestic Town,Elyses,
0006,Jubilife City,Jubelstadt,
0007,Canalave City,Fleetburg,
0008,Oreburgh City,Erzelingen,
0009,Eterna City,Ewigenau,
0010,Hearthome City,Herzhofen,
0011,Pastoria City,Weideburg,
0012,Veilstone City,Schleiede,
0013,Sunyshore City,Sonnewik,
0014,Snowpoint City,Blizzach,
0015,Pokémon League,Pokémon Liga,
0016,Route 201,Route 201,
0017,Route 202,Route 202,
0018,Route 203,Route 203,
0019,Route 204,Route 204,
0020,Route 205,Route 205,
0021,Route 206,Route 206,
0022,Route 207,Route 207,
0023,Route 208,Route 208,
0024,Route 209,Route 209,
0025,Route 210,Route 210,
0026,Route 211,Route 211,
0027,Route 212,Route 212,
0028,Route 213,Route 213,
0029,Route 214,Route 214,
0030,Route 215,Route 215,
0031,Route 216,Route 216,
0032,Route 217,Route 217,
0033,Route 218,Route 218,
0034,Route 219,Route 219,
0035,Route 220,Route 220,
0036,Route 221,Route 221,
0037,Route 222,Route 222,
0038,Route 223,Route 223,
0039,Route 224,Route 224,
0040,Route 225,Route 225,
0041,Route 226,Route 226,
0042,Route 227,Route 227,
0043,Route 228,Route 228,
0044,Route 229,Route 229,
0045,Route 230,Route 230,
0046,Oreburgh Mine,Erzelingen-Mine,
0047,Valley Windworks,Windkraftwerk,
0048,Eterna Forest,Ewigwald,
0049,Fuego Ironworks,Feuriohütte,
0050,Mt. Coronet,Kraterberg,
0051,Spear Pillar,Speersäule,
0052,Great Marsh,Großmoor,
0053,Solaceon Ruins,Trostu-Ruinen,
0054,Victory Road,Siegesstraße,
0055,Pal Park,Park der Freunde,
0056,Amity Square,Platz der Treue,
0057,Ravaged Path,Verwüsteter Pfad,
0058,Floaroma Meadow,Auen von Flori,
0059,Oreburgh Gate,Erzelingen-Tor,
0060,Fullmoon Island,Vollmond-Insel,
0061,Sendoff Spring,Scheidequelle,
0062,Turnback Cave,Höhle der Umkehr,
0063,Flower Paradise,Blumenparadies,
0064,Snowpoint Temple,Blizzach-Tempel,
0065,Wayward Cave,Bizarre Höhle,
0066,Ruin Maniac Cave,Maniac-Höhle,
0067,Maniac Tunnel,Maniac-Tunnel,
0068,Trophy Garden,Trophäengarten,
0069,Iron Island,Eiseninsel,
0070,Old Chateau,Alte Villa,
0071,Galactic HQ,Galakti-Zentrale,
0072,Verity Lakefront,Wahrheitsufer,
0073,Valor Lakefront,Kühnheitsufer,
0074,Acuity Lakefront,Stärkeufer,
0075,Spring Path,Frühlingspfad,
0076,Lake Verity,See der Wahrheit,
0077,Lake Valor,See der Kühnheit,
0078,Lake Acuity,See der Stärke,
0079,Newmoon Island,Neumond-Insel,
0080,Btl Twr (Sinnoh),Duelltrm (Sinnoh),
0081,Fight Area,Kampfareal,
0082,Survival Area,Überlebensareal,
0083,Resort Area,Erholungsgebiet,
0084,Stark Mountain,Kahlberg,
0085,Seabreak Path,Buhnen-Pfad,
0086,Hall of Origin,Halle d. Beginns,
0087,Verity Cavern,Wahrheitsgrotte,
0088,Valor Cavern,Kühnheitsgrotte,
0089,Acuity Cavern,Stärkegrotte,
