0;---;---;
1;The target is physically pounded with a long tail, a foreleg, or the like.;Ein Hieb mit den Vorderbeinen oder dem Schweif.;
2;The target is attacked with a sharp chop. Critical hits land more easily.;Gute Möglichkeit, einen Volltreffer zu landen.;
3;The target is slapped repeatedly, back and forth, two to five times in a row.;Trifft das Ziel zwei- bis fünfmal hintereinander mit einem Duplexhieb.;
4;The target is hit with a flurry of punches that strike two to five times in a row.;Trifft das Ziel zwei- bis fünfmal hintereinander mit kräftigen Hieben.;
5;The target is slugged by a punch thrown with muscle-packed power.;Ein unglaublich kräftiger Hieb.;
6;Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.;Das Ziel wird mit Münzen beworfen. Das Geld wird nach dem Kampf aufgesammelt.;
7;The target is punched with a fiery fist. This may also leave the target with a burn.;Ein feuriger Schlag, der dem Ziel eventuell Verbrennungen zufügt.;
8;The target is punched with an icy fist. This may also leave the target frozen.;Ein eisiger Schlag, der das Ziel eventuell einfriert.;
9;The target is punched with an electrified fist. This may also leave the target with paralysis.;Ein elektrischer Schlag, der das Ziel eventuell paralysiert.;
10;Hard, pointed, sharp claws rake the target to inflict damage.;Das Ziel wird mit scharfen Klauen zerkratzt.;
11;The target is gripped and squeezed from both sides to inflict damage.;Das Ziel wird umklammert und zusammengequetscht.;
12;A vicious, tearing attack with big pincers. The target faints instantly if this attack hits.;Ein Angriff mit einer großen Schere. Trifft die Attacke, führt sie beim Ziel sofort zum K.O.;
13;In this two-turn attack, blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.;Eine Attacke, die über zwei Runden geht. Hohe Volltrefferquote.;
14;A frenetic dance to uplift the fighting spirit. This sharply raises the user's Attack stat.;Ein wilder Tanz, der den Kampfgeist wecken soll. Der Angriffs-Wert des Anwenders wird stark erhöht.;
15;The target is cut with a scythe or claw.;Ein Basisangriff mit Schere oder Klaue.;
16;A gust of wind is whipped up by wings and launched at the target to inflict damage.;Trifft das Ziel mit einem Windstoß, den es mit seinen Flügeln erzeugt.;
17;The target is struck with large, imposing wings spread wide to inflict damage.;Trifft das Ziel mit ausgebreiteten Flügeln.;
18;The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.;Weht das Ziel weg und ersetzt es durch ein anderes Pokémon. In der Wildnis endet der Kampf.;
19;The user soars and then strikes its target on the next turn.;Steigt in Runde 1 empor und trifft das Ziel in Runde 2.;
20;Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.;Umklammert und quetscht das Ziel über vier bis fünf Runden.;
21;The target is slammed with a long tail, vines, or the like to inflict damage.;Schlag mit einem langen Schweif, einer Ranke oder Ähnlichem.;
22;The target is struck with slender, whip-like vines to inflict damage.;Peitschenähnlicher Schlag mit Ranken.;
23;The target is stomped with a big foot. This may also make the target flinch.;Stampfen mit dem Fuß. Das Ziel schreckt eventuell zurück.;
24;The target is quickly kicked twice in succession using both feet.;Der Anwender tritt in einer Runde zweimal schnell zu.;
25;The target is attacked by a kick launched with muscle-packed power.;Das Ziel wird mit einem extrem heftigen Tritt angegriffen.;
26;The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.;Der Angreifer hüpft hoch und tritt zu. Bei Misserfolg schadet er sich selbst.;
27;The user lashes out with a quick, spinning kick. This may also make the target flinch.;Heftiger Tritt aus einer schnellen Drehbewegung. Lässt das Ziel eventuell zurückschrecken.;
