Stone Badge;den Steinorden;
Knuckle Badge;den Knöchelorden;
Dynamo Badge;den Dynamo-Orden;
Heat Badge;den Hitzeorden;
Balance Badge;den Balanceorden;
Feather Badge;den Federorden;
Mind Badge;den Mentalrden;
Rain Badge;den Schauerorden;
Silver Knowledge Symbol;das Silber-Kenntnissymbol;
Gold Knowledge Symbol;das Gold-Kenntnissymbol;
Silver Guts Symbol;das Silber-Grobsymbol;
Gold Guts Symbol;das Gold-Grobsymbol;
Silver Tactics Symbol;das Silber-Taktiksymbol;
Gold Tactics Symbol;das Gold-Taktiksymbol;
Silver Luck Symbol;das Silber-Lossymbol;
Gold Luck Symbol;das Gold-Lossymbol;
Silver Spirits Symbol;das Silber-Seelensymbol;
Gold Spirits Symbol;das Gold-Seelensymbol;
Silver Brave Symbol;das Silber-Bravursymbol;
Gold Brave Symbol;das Gold-Bravursymbol;
Silver Ability Symbol;das Silber-Anlagesymbol;
Gold Ability Symbol;das Gold-Anlagesymbol;
