Hoenn Cool Contest Normal Rank winner!;Hoenn Coolnesswettbewerb Sieger in der Normal-Klasse!;
Hoenn Cool Contest Super Rank winner!;Hoenn Coolnesswettbewerb Sieger in der Super-Klasse!;
Hoenn Cool Contest Hyper Rank winner!;Hoenn Coolnesswettbewerb Sieger in der Hyper-Klasse!;
Hoenn Cool Contest Master Rank winner!;Hoenn Coolnesswettbewerb Sieger in der Master-Klasse!;
Hoenn Beauty Contest Normal Rank winner!;Hoenn Schönheitswettbewerb Sieger in der Normal-Klasse!;
Hoenn Beauty Contest Super Rank winner!;Hoenn Schönheitswettbewerb Sieger in der Super-Klasse!;
Hoenn Beauty Contest Hyper Rank winner!;Hoenn Schönheitswettbewerb Sieger in der Hyper-Klasse!;
Hoenn Beauty Contest Master Rank winner!;Hoenn Schönheitswettbewerb Sieger in der Master-Klasse!;
Hoenn Cute Contest Normal Rank winner!;Hoenn Anmutwettbewerb Sieger in der Normal-Klasse!;
Hoenn Cute Contest Super Rank winner!;Hoenn Anmutwettbewerb Sieger in der Super-Klasse!;
Hoenn Cute Contest Hyper Rank winner!;Hoenn Anmutwettbewerb Sieger in der Hyper-Klasse!;
Hoenn Cute Contest Master Rank winner!;Hoenn Anmutwettbewerb Sieger in der Master-Klasse!;
Hoenn Smart Contest Normal Rank winner!;Hoenn Klugheitswettbewerb Sieger in der Normal-Klasse!;
Hoenn Smart Contest Super Rank winner!;Hoenn Klugheitswettbewerb Sieger in der Super-Klasse!;
Hoenn Smart Contest Hyper Rank winner!;Hoenn Klugheitswettbewerb Sieger in der Hyper-Klasse!;
Hoenn Smart Contest Master Rank winner!;Hoenn Klugheitswettbewerb Sieger in der Master-Klasse!;
Hoenn Tough Contest Normal Rank winner!;Hoenn Stärkewettbewerb Sieger in der Normal-Klasse!;
Hoenn Tough Contest Super Rank winner!;Hoenn Stärkewettbewerb Sieger in der Super-Klasse!;
Hoenn Tough Contest Hyper Rank winner!;Hoenn Stärkewettbewerb Sieger in der Hyper-Klasse!;
Hoenn Tough Contest Master Rank winner!;Hoenn Stärkewettbewerb Sieger in der Master-Klasse!;
A Ribbon awarded for beating the Hoenn Champion and entering the Hoenn Hall of Fame.;Band für den Sieg über den Champ von Hoenn und den Einzug in die Ruhmeshalle.;
A Ribbon awarded for clearing Hoenn's Battle Tower's Lv. 50 challenge.;Band für Siege in der Lv. 50-Kategorie im Duellturm von Hoenn.;
A Ribbon awarded for clearing Hoenn's Battle Tower's Lv. 100 challenge.;Band für Siege in der Lv. 100-Kategorie im Duellturm von Hoenn.;
A Ribbon awarded for being chosen as a super sketch model in the Hoenn region.;Belohnung für die Wahl zum Super-Modell in Hoenn.;
A Ribbon awarded for being an exceptionally hard worker.;Band für extrem fleißige Arbeiter.;
A commemorative Ribbon obtained in a Mystery Zone.;Ein Gedenk-Band - erhalten an einem mysteriösen Ort.;
A commemorative Ribbon obtained in a Mystery Zone.;Ein Gedenk-Band - erhalten an einem mysteriösen Ort.;
A commemorative Ribbon obtained in a Mystery Zone.;Ein Gedenk-Band - erhalten an einem mysteriösen Ort.;
A Ribbon awarded to a Pokémon League Champion.;Band zur Ehrung des Champs der Pokémon-Liga.;
A Ribbon awarded for overcoming all difficult challenges.;Band für das erfolgreiche Überstehen aller Widrigkeiten.;
A Ribbon awarded for winning one hundred battles in a row.;Band zur Erinnerung an hundert Siege in Folge.;
A Ribbon awarded to a Pokémon League Champion.;Band zur Ehrung des Champs der Pokémon-Liga.;
A Ribbon awarded for beating the Sinnoh Champion and entering the Sinnoh Hall of Fame.;Band für den Sieg über den Champ von Sinnoh und den Einzug in die Ruhmeshalle.;
A Ribbon awarded for defeating the Tower Tycoon at the Sinnoh Battle Tower.;Ein Band, verliehen zum Sieg über den Kampfkoloss des Duellturms.;
A Ribbon awarded for defeating the Tower Tycoon at the Sinnoh Battle Tower.;Ein Band, verliehen zum Sieg über den Kampfkoloss des Duellturms.;
A Ribbon awarded for completing the Sinnoh Battle Tower Double challenge.;Ein Band für die Meisterung des Doppels im Sinnoh Duellturm.;
A Ribbon awarded for completing the Sinnoh Battle Tower Multi challenge.;Ein Band für die Meisterung der Multi-Herausforderung im Sinnoh Duellturm.;
A Ribbon awarded for completing the Sinnoh Battle Tower Link Multi challenge.;Ein Band für die Meisterung der Link-Multi-Herausforderung im Sinnoh Duellturm.;
A Ribbon awarded for completing the Sinnoh Wi-Fi Battle Tower challenge.;Ein Band für die Meisterung der Wi-Fi-Herausforderung im Sinnoh Duellturm.;
A Ribbon for recalling an invigorating event that created life energy.;Band zur Erinnerung an ein stärkendes, Lebensenergie gebendes Ereignis.;
A Ribbon for recalling a thrilling event that made life more exciting.;Band zur Erinnerung an ein Ereignis, das das Leben aufregender machte.;
A Ribbon for recalling feelings of sadness that added spice to life.;Band zur Erinnerung an die Traurigkeit, die dem Leben Würze gab.;
A Ribbon for recalling a careless error that helped steer life decisions.;Band zur Erinnerung an einen Fehler, der zu lebenswichtigen Entscheidungen führte.;
A Ribbon for recalling a refreshing event that added sparkle to life.;Band zur Erinnerung an ein erfrischendes Ereignis, das dem Leben Glanz gab.;
A Ribbon for recalling a deep slumber that made life soothing.;Band zur Erinnerung an einen tiefen Schlaf, der den Fluss des Lebens beruhigte.;
A Ribbon for recalling that smiles enrich the quality of life.;Band zur Erinnerung daran, dass ein Lächeln das Leben bereichert.;
An extraordinarily gorgeous and extravagant Ribbon.;Außergewöhnlich schönes und extravagantes Band.;
An incredibly regal Ribbon with an air of nobility.;Unglaublich königliches Band, das eine Aura der Erhabenheit ausstrahlt.;
A gorgeous and regal Ribbon that is the peak of fabulous.;Wunderschönes und königliches Band, das einfach sagenhaft ist.;
A Ribbon awarded to a Pokémon deemed to have a top-quality footprint.;Band für ein Pokémon, das einen besonders guten Fußabdruck hinterlässt.;
A Ribbon awarded for setting an incredible record.;Band für das Aufstellen eines unglaublichen Rekords.;
A Ribbon awarded for setting a historical record.;Ein Band für das Aufstellen eines historischen Rekords.;
A Ribbon awarded for setting a legendary record.;Band für das Aufstellen eines legendären Rekords.;
A commemorative Ribbon obtained in a Mystery Zone.;Ein Gedenk-Band - erhalten an einem mysteriösen Ort.;
A commemorative Ribbon obtained in a Mystery Zone.;Ein Gedenk-Band - erhalten an einem mysteriösen Ort.;
A commemorative Ribbon obtained in a Mystery Zone.;Ein Gedenk-Band - erhalten an einem mysteriösen Ort.;
A Ribbon for cherishing a special memory.;Band, das als Andenken an ganz besondere Erinnerungen dient.;
A Ribbon said to make your wish come true.;Band, das angeblich Wünsche erfüllt.;
A Ribbon that proclaims love for Pokémon.;Band zur Auszeichnung von wahren Pokémon-Liebhabern.;
A Ribbon awarded for a special holiday.;Band zur Erinnerung an einen besonderen Tag.;
A special Ribbon for a special day.;Besonderes Band für einen besonderen Tag.;
A Ribbon awarded to a Battle Competition Champion.;Band des Siegers eines Kampfturniers.;
A Ribbon awarded to a Regional Champion in the Pokémon World Championships.;Siegerband für die Regionalmeisterschaft der Pokémon World Championships.;
A Ribbon awarded to a National Champion in the Pokémon World Championships.;Siegerband für die Nationalmeisterschaft der Pokémon World Championships.;
Sinnoh Super Contest Cool Category Normal Rank winner!;Sinnoh Super-Coolnesswettbewerb Sieger in der Normal-Klasse!;
Sinnoh Super Contest Cool Category Great Rank winner!;Sinnoh Super-Coolnesswettbewerb Sieger in der Mega-Klasse!;
Sinnoh Super Contest Cool Category Ultra Rank winner!;Sinnoh Super-Coolnesswettbewerb Sieger in der Ultra-Klasse!;
Sinnoh Super Contest Cool Category Master Rank winner!;Sinnoh Super-Coolnesswettbewerb Sieger in der Master-Klasse!;
Sinnoh Super Contest Beauty Category Normal Rank winner!;Sinnoh Super-Schönheitswettbewerb Sieger in der Normal-Klasse!;
Sinnoh Super Contest Beauty Category Great Rank winner!;Sinnoh Super-Schönheitswettbewerb Sieger in der Mega-Klasse!;
Sinnoh Super Contest Beauty Category Ultra Rank winner!;Sinnoh Super-Schönheitswettbewerb Sieger in der Ultra-Klasse!;
Sinnoh Super Contest Beauty Category Master Rank winner!;Sinnoh Super-Schönheitswettbewerb Sieger in der Master-Klasse!;
Sinnoh Super Contest Cute Category Normal Rank winner!;Sinnoh Super-Anmutwettbewerb Sieger in der Normal-Klasse!;
Sinnoh Super Contest Cute Category Great Rank winner!;Sinnoh Super-Anmutwettbewerb Sieger in der Mega-Klasse!;
Sinnoh Super Contest Cute Category Ultra Rank winner!;Sinnoh Super-Anmutwettbewerb Sieger in der Ultra-Klasse!;
Sinnoh Super Contest Cute Category Master Rank winner!;Sinnoh Super-Anmutwettbewerb Sieger in der Master-Klasse!;
Sinnoh Super Contest Smart Category Normal Rank winner!;Sinnoh Super-Klugheitswettbewerb Sieger in der Normal-Klasse!;
Sinnoh Super Contest Smart Category Great Rank winner!;Sinnoh Super-Klugheitswettbewerb Sieger in der Mega-Klasse!;
Sinnoh Super Contest Smart Category Ultra Rank winner!;Sinnoh Super-Klugheitswettbewerb Sieger in der Ultra-Klasse!;
Sinnoh Super Contest Smart Category Master Rank winner!;Sinnoh Super-Klugheitswettbewerb Sieger in der Master-Klasse!;
Sinnoh Super Contest Tough Category Normal Rank winner!;Sinnoh Super-Stärkewettbewerb Sieger in der Normal-Klasse!;
Sinnoh Super Contest Tough Category Great Rank winner!;Sinnoh Super-Stärkewettbewerb Sieger in der Mega-Klasse!;
Sinnoh Super Contest Tough Category Ultra Rank winner!;Sinnoh Super-Stärkewettbewerb Sieger in der Ultra-Klasse!;
Sinnoh Super Contest Tough Category Master Rank winner!;Sinnoh Super-Stärkewettbewerb Sieger in der Master-Klasse!;
A Ribbon awarded to a World Champion in the Pokémon World Championships.;Siegerband für das Finale der Pokémon World Championships.;
A Ribbon that commemorates a birthday.;Band für Geburtstagskinder.;
