No data.;Keine Daten.;
Faraway Place;Entfernter Ort;
Unknown;Unbekannt;
%s Use %s?;%s Möchtest du %s nutzen?;
The repel wore off.;Der Schutz ist aufgebraucht.;
Just an old Poké Ball|;Doch nur ein alter Pokéball|;
You fished a Pokémon!;Du hast ein Pokémon geangelt!;
Map border.\nReturn, or you\nwill get lost!;Ende der Kartendaten.\nKehr um, sonst\nverirrst du dich!;
Something's on the hook!;Da ist etwas am Haken!;
It disappeared|;Es ist entkommen|;
%s used %s!;%s setzt %s ein!;
Items;Items;
Medicine;Heilitems;
TM/HM;TM/VM;
Berries;Beeren;
Key Items;Basis-Items;
Firmness: %s;Güte: %s;
Hard;Hart;
Soft;Weich;
Super hard;Steinhart;
Super soft;Sehr weich;
Very hard;Sehr hart;
Normal;Normal;
Size:%4.1fcm;Größe:%4.1fcm;
Spicy;Scharf;
Dry;Trocken;
Sweet;Süß;
Bitter;Bitter;
Sour;Sauer;
Type;Typ;
Categ.;Kateg.;
PP;AP;
Strength;Stärke;
Accuracy;Genauigkeit;
Egg;Ei;
Already learned;Bereits erlernt;
Possible;Erlernbar;
Not possible;Nicht erlernbar;
Level %3d\n%3d/%3d HP;Level %3d\n%3d/%3d KP;
Level %3d\nFainted;Level %3d\nBesiegt;
Possible;Möglich;
Not possible;Nicht möglich;
No item;Kein Item;
No items;Keine Items;
Give;Geben;
Apply;Anwenden;
Register;Registrieren;
Use;Einsetzen;
Toss;Wegwerfen;
Select a move!;Welche Attacke?;
Used %s.;%s eingesetzt.;
What?\n%s is evolving!;Nanu?\n%s entwickelt sich!;
Congratulations! Your %s\nevolved into %s!;Glückwunsch! Dein %s\nwurde zu einem %s!;
It would be wasted|;Es würde keine Wirkung haben|;
%s already has an item.\nSwap the items?;%s trägt bereits ein Item.\nSollen die Items getauscht werden?;
You can't choose this item.;Dieses Item kann nicht ausgewählt werden.;
Choose %s?;%s auswählen?;
Do what with %s?;Was tun mit %s?;
You can't use that right now.;Das kann jetzt nicht eingesetzt werden.;
Pokémon team;Pokémon-Team;
Cache;Zwischenablage;
All boxes;Alle Boxen;
New name for box %s;Name für Box %s;
Repel activated.;Schutz eingesetzt.;
Super Repel activated.;Superschutz eingesetzt.;
Max Repel activated.;Top-Schutz eingesetzt.;
Exp. All deactivated.;EP-Teiler ausgeschaltet.;
Exp. All activated.;EP-Teiler eingeschaltet.;
Coins: %lu.;Münzen: %lu.;
BP: %lu.;Kampfpunkte: %lu.;
TOUCH TO START;BERÜHRE, UM ZU STARTEN;
Continue;Weiter;
New Game;Neues Spiel;
Special Episodes;Spezialepisoden;
Import Save;Spiel-Import;
Continue your adventure;Setze dein Abenteuer fort;
Start a new adventure;Starte ein neues Abenteuer;
Learn your companion's stories;Erfahre mehr über deine Begleiter;
Revive myths of old;Setze alte Abenteuer fort;
This slot contains a saved game.\nOverwrite it?;Es existiert bereits ein Spielstand.\nSoll dieser überschrieben werden?;
Yes;Ja;
No;Nein;
(empty);(leer);
Transfer;Transfer;
Special;Spezial;
The language is set to English.\nChoose a different language?;Die aktuelle Sprache ist Deutsch.\nSprache wechseln?;
You put the %s\ninto the [%hu] %s bag.;%s bei den\n[%hu] %s verstaut.;
Stored %s %s;%s %s in der;
Stored %s;%s in der;
Stored %3d %s;%3d %s in der;
The scent vanished|;Der Duft verstrich wirkungslos|;
PokéNav;PokéNav;
 Would you like to save your progress?; Möchtest du deinen Fortschritt sichern?;
Saving a lot of data| Don't cut the power.\n%s;Speichere eine Menge Daten| Nicht abschalten.\n%s;
Saving complete!;Speichern erfolgreich!;
An error occured.\nProgress not saved.;Es trat ein Fehler auf\nSpiel nicht gesichert.;
No %s available.\nRemove the icon?;Kein Exemplar des Items\n%s vorhanden.\nIcon entfernen?;
Recently used items\nwill appear here.;Hier erscheinen zuletzt\neingesetzte Items.;
You can register an item to the Y button.;Du kannst ein Item auf Y registrieren.;
%s used %s!;%s setzt %s ein!;
You can't use this\nmove right now.;Diese Attacke kann jetzt\nnicht eingesetzt werden.;
Took %s\nfrom %s.;%s von\n%s verstaut.;
%s already\nknows %s!;%s beherrscht\n%s bereits!;
%s learned\n%s!;%s erlernt\n%s!;
%s already knows 4 moves. Forget a move?;%s kennt bereits 4 Attacken. Soll eine verlernt werden?;
Select a move!;Welche Attacke?;
%s can't\nforget %s!;%s kann\n%s nicht vergessen!;
%s can't\nlearn %s!;%s kann\n%s nicht erlernen!;
%hhu badges;%hhu Orden;
Pick a language;Wähle eine Sprache;
Choose an episode;Wähle eine Speizalepisode;
Welcome to Special Episode 0:\nDeveloper's Heaven.;Willkommen zur Spezialepisode 0:\nDeveloper's Heaven;
In this episode, you will gain\nthe mighty powers of the\ndev himself.;In dieser Episode erhältst du\ndie Fähigkeiten des Entwicklers.;
Do whatever you want.;Mach damit, was immer du möchtest.;
Do you want to import your\nsave from the GBA game?;Möchtest du deinen Spielstand\nvon dem GBA-Modul auf dem DS\nfortsetzen?;
Importing a save file will\ncopy all Pokémon and items\nfrom the GBA game.;Beim Importieren werden alle\nPokémon und Items vom\nGBA-Modul kopiert.;
Further, you will start at\nthe same position as you\nleft off in the GBA game.;Du wirst das Spiel an der\nselben Stelle wie auf dem\nGBA-Modul fortsetzen.;
No data will be written to\nthe GBA Game Pak.;Es werden keine Daten auf\ndas GBA-Modul geschrieben.;
However, proceed at your\nown risk.;Trotzdem geschieht das\nImportieren auf eigene\nGefahr.;
No compatible cartrige found.\nAborting.;Kein kompatibles GBA-Modul\ngefunden.\nBreche ab.;
Proceed?;Fortfahren?;
Importing data|;Lade Spielstand|;
An error occured.\nAborting.;Ein Fehler ist aufgetreten.\nKehre zum Hauptmenü zurück.;
Completed.;Abgeschlossen.;
Entries;Einträge;
All;Alle;
HP;KP;
Attack;Angriff;
Defense;Vert.;
Sp. Atk;Sp. Ang.;
Sp. Def;Sp. Ver.;
Speed;Init.;
f. %s;aus %s;
female;weiblich;
male;männlich;
(shining);(schillernd);
Fainted;Besiegt;
Statistics;Statuswerte;
Lv.%3i;Lv.%3i;
%s tries to learn %s.;%s versucht %s zu lernen.;
The terrain didn't change.;Das Terrain blieb unverändert.;
Do you want to give a nick name to %s?;Möchtest du dem %s einen Spitznamen geben?;
Choose a nick name!;Wähle einen Spitznamen!;
You are challenged by %s %s!;Eine Herausforderung von %s %s!;
Frzn;Eingfr;
Prlz;Prlyse;
Burn;Verbrng;
Slp;Schlaf;
Psn;Gift;
Switch;Aussenden;
In Battle;Im Kampf;
Send In;In den Kampf;
To be sent;Schon ausgewählt;
Eggs can't hold items!;Ein Ei kann kein Item tragen.;
battle!;nicht kämpfen!;
Status;Bericht;
Moves;Attacken;
ATK;ANG;
DEF;VER;
SAT;SAN;
SDF;SVE;
SPD;INI;
What will %s do?;Was soll %s tun?;
You got away safely.;Du bist entkommen.;
You couldn't escape|;Flucht gescheitert|;
Choose a target!;Welches Pokémon angreifen?;
Choose a Pokémon.;Welches Pokémon?;
%s gained %lu EXP.;%s gewinnt %lu E.-Punkte.;
%s advanced to level %d.;%s erreicht Level %d.;
The %s enabled\n%s to go first!;%.0s%s agiert dank\neiner %s zuerst!;
The wild %s fled!;%s (wild) floh.;
But nothing happened|;Nichts geschah|;
It got wasted|;Es hatte keine Wirkung|;
Used %s.;%s eingesetzt.;
%s's data was\nregistred to the PokéDex.;Die Daten von %s\nwurden im PokéDex gespeichert.;
%s was sent to\nthe Pokémon Storage System.;%s wurde an das\nPokémon-Lagerungssystem\ngeschickt.;
Box [129]%s\" is full.;Box [131]%s[129] ist voll.;
%s was deposited to Box [129]%s\".;%s wurde in Box [131]%s[129] abgelegt.;
There is no space left for additional Pokémon.;Du hast keinen Platz für weitere Pokémon.;
%s was released.;%s wurde wieder\nfreigelassen.;
FIGHT;Kampf;
BAG;Beutel;
POKéMON;Pokémon;
RUN;Flucht;
Pwr;Stk;
Meteor Falls;Meteorfälle;
---;---;
Hardy;Robust;
Lonely;Einsam;
Brave;Mutig;
Adamant;Hart;
Naughy;Frech;
Bold;Kühn;
Docile;Sanft;
Relaxed;Locker;
Impish;Pfiffig;
Lax;Lasch;
Timid;Scheu;
Hasty;Hastig;
Serious;Ernst;
Jolly;Froh;
Naive;Naiv;
Modest;Mäßig;
Mild;Mild;
Quiet;Ruhig;
Bashful;Zaghaft;
Rash;Hitzig;
Calm;Still;
Gentle;Zart;
Sassy;Forsch;
Careful;Sacht;
Quirky;Kauzig;
Loves to eat.;Liebt es, zu essen.;
Often dozes off.;Nickt oft ein.;
Nods off a lot.;Schläft gerne.;
Scatters things often.;Macht oft Unordnung.;
Likes to relax.;Liebt es zu entspannen.;
Proud of its power.;Ist stolz auf seine Stärke.;
Likes to thrash about.;Prügelt sich gerne.;
A little quick tempered.;Besitzt Temperament.;
Likes to fight.;Liebt es zu kämpfen.;
Quick tempered.;Ist impulsiv.;
Sturdy body.;Hat einen robusten Körper.;
Capable of taking hits.;Kann Treffer gut verkraften.;
Highly persistent.;Ist äußerst ausdauernd.;
Good endurance.;Hat eine gute Ausdauer.;
Good perseverance.;Ist beharrlich.;
Highly curious.;Ist sehr neugierig.;
