000,Pokémon Trainer,Pokémon-Trainer,
001,Pokémon Trainer,Pokémon-Trainer,
002,Youngster,Teenager,
003,Lass,Göre,
004,Waitress,Serviererin,
005,Ace Duo,Ass-Duo,
006,Ace Trainer,Ass-Trainer,
007,Ace Trainer,Ass-Trainer,
008,Preschooler,Vorschülerin,
009,Preschooler,Vorschüler,
010,Hex Maniac,Hexe,
011,Lady,Lady,
012,Beauty,Schönheit,
013,Rich Boy,Schnösel,
014,Swimmer,Schwimmer,
015,Black Belt,Schwarzgurt,
016,Tourist,Touristin,
017,Artist Family,Künstlerfamilie,
018,Artist,Künstler,
019,Artist,Künstlerin,
020,Scientist,Forscherin,
021,Scientist,Forscher,
022,Psychic,Psycho,
023,Worker,Arbeiter,
024,Worker,Arbeiter,
025,Butler,Butler,
026,Elite Four,Top Vier,
027,Elite Four,Top Vier,
028,Elite Four,Top Vier,
029,Elite Four,Top Vier,
030,Brains & Brawn,Grips&Muckis,
031,Punk Guy,Punker,
032,Schoolgirl,Schülerin,
033,Schoolboy,Schüler,
034,Poké Fan,Pokéfan,
035,Poké Fan,Pokéfan,
036,Poké Fan Family,Pokéfan-Pärchen,
037,Champion,Champ,
038,Fisherman,Angler,
039,Ace Trainer,Ass-Trainer,
040,Ace Trainer,Ass-Trainer,
041,Gardener,Gärtner,
042,Backpacker,Backpacker,
043,Punk Girl,Punkerin,
044,Battle Girl,Kämpferin,
045,Tourist,Touristin,
046,Tourist,Tourist,
047,Swimmer,Schwimmerin,
048,Mysterious Sisters,Schräge Schwestern,
049,Twins,Zwillinge,
050,Furisode Girl,Kimono-Trägerin,
051,Furisode Girl,Kimono-Trägerin,
052,Furisode Girl,Kimono-Trägerin,
053,Furisode Girl,Kimono-Trägerin,
054,Team Aqua,Team Aqua,
055,Veteran,Veteranin,
056,Veteran,Veteran,
057,Rising Star,Trainerhoffnung,
058,Rising Star,Trainerhoffnung,
059,Pokémon Breeder,Pokémon-Züchterin,
